rank,name,score,pageviews,currentTier,id,family,lived,wikipediaUrl,imageUrl
144,Eotyrannus,2514,2514,hard,370,,,,https://images.dinosaurpictures.org/Eotyrannus/Eotyrannus_2fa04535.jpg
145,Liaoningosaurus,2513,2513,hard,674,,,,https://images.dinosaurpictures.org/Liaoningosaurus/Liaoningosaurus_12a734fa.jpg
146,Lessemsaurus,2493,2493,hard,623,,,,https://images.dinosaurpictures.org/Lessemsaurus/Lessemsaurus_aadd9eb7.jpg
147,Ampelosaurus,2446,2446,hard,86,,,,https://images.dinosaurpictures.org/Ampelosaurus/Ampelosaurus_c0e7c0bd.jpg
148,Megapnosaurus,2421,2421,hard,699,,,,https://images.dinosaurpictures.org/Megapnosaurus/Megapnosaurus_fc70a552.jpg
149,Alectrosaurus,2411,2411,hard,48,,,,https://images.dinosaurpictures.org/Alectrosaurus/Alectrosaurus_2635b045.jpg
150,Zuniceratops,2405,2405,hard,1158,,,,https://images.dinosaurpictures.org/Zuniceratops/Zuniceratops_56491c72.jpg
151,Tsintaosaurus,2392,2392,hard,1026,,,,https://images.dinosaurpictures.org/Tsintaosaurus/Tsintaosaurus_a5a9c316.jpg
152,Futalognkosaurus,2379,2379,hard,411,,,,https://images.dinosaurpictures.org/Futalognkosaurus/Futalognkosaurus_0d00ffb3.jpg
153,Eotriceratops,2363,2363,hard,402,,,,https://images.dinosaurpictures.org/Eotriceratops/Eotriceratops_cdf46856.jpg
154,Corythoraptor,2321,2321,hard,311,,,,https://images.dinosaurpictures.org/Corythoraptor/Corythoraptor_b6224635.jpg
155,Skorpiovenator,2283,2283,hard,899,,,,https://images.dinosaurpictures.org/Skorpiovenator/Skorpiovenator_cf153202.jpg
156,Pisanosaurus,2239,2239,hard,768,,,,https://images.dinosaurpictures.org/Pisanosaurus/Pisanosaurus_2824a717.jpg
157,Oryctodromeus,2229,2229,hard,802,,,,https://images.dinosaurpictures.org/Oryctodromeus/Oryctodromeus_8f44a6ca.jpg
158,Gargoyleosaurus,2224,2224,hard,404,,,,https://images.dinosaurpictures.org/Gargoyleosaurus/Gargoyleosaurus_eeb1844e.jpg
159,Changyuraptor,2191,2191,hard,294,,,,https://images.dinosaurpictures.org/Changyuraptor/Changyuraptor_5a42bfef.jpg
160,Sinotyrannus,2179,2179,hard,903,,,,https://images.dinosaurpictures.org/Sinotyrannus/Sinotyrannus_7e7463c0.jpg
161,Huayangosaurus,2153,2153,hard,471,,,,https://images.dinosaurpictures.org/Huayangosaurus/Huayangosaurus_1650af6b.jpg
162,Scipionyx,2131,2131,hard,928,,,,https://images.dinosaurpictures.org/Scipionyx/Scipionyx_6267a798.jpg
163,Jainosaurus,2097,2097,hard,555,,,,https://images.dinosaurpictures.org/Jainosaurus/Jainosaurus_6ee6a102.jpg
164,Chungkingosaurus,2068,2068,hard,288,,,,https://images.dinosaurpictures.org/Chungkingosaurus/Chungkingosaurus_c7ff8f89.jpg
165,Astrodon,2063,2063,hard,101,,,,https://images.dinosaurpictures.org/Astrodon/Astrodon_7bdc039c.jpg
166,Avisaurus,2004,2004,hard,141,,,,https://images.dinosaurpictures.org/Avisaurus/Avisaurus_bddcac17.jpg
167,Fukuisaurus,1939,1939,hard,419,,,,https://images.dinosaurpictures.org/Fukuisaurus/Fukuisaurus_56d978e1.jpg
168,Alcovasaurus,1904,1904,hard,76,,,,https://images.dinosaurpictures.org/Alcovasaurus/Alcovasaurus_c543657d.jpg
169,Shuvuuia,1865,1865,hard,960,,,,https://images.dinosaurpictures.org/Shuvuuia/Shuvuuia_30eb7470.jpg
170,Archaeornithomimus,1853,1853,hard,74,,,,https://images.dinosaurpictures.org/Archaeornithomimus/Archaeornithomimus_1d922284.jpg
171,Eoabelisaurus,1809,1809,hard,384,,,,https://images.dinosaurpictures.org/Eoabelisaurus/Eoabelisaurus_90b5819a.jpg
172,Barsboldia,1808,1808,hard,127,,,,https://images.dinosaurpictures.org/Barsboldia/Barsboldia_a80aa685.jpg
